link,inlinks,anchor_text
Brazil.html,124,"{'BRA', 'Article', 'Brazil', 'Brazilian'}"
Foreign_hostages_in_Iraq_9250.html,118,"{'edit', 'Article'}"
List_of_birds_of_the_United_Arab_Emirates_67ef.html,66,"{'edit', 'Article'}"
2007_New_York_Jets_season_b663.html,64,"{'2007', 'edit', 'article'}"
German_railway_signalling.html,53,"{'edit', 'Article'}"
August_26.html,50,"{'August 26', 'Article', '08-26', '26 August', '26', 'edit'}"
IPv6_fdb7.html,50,"{'edit', 'Article'}"
Symmetry.html,45,"{'edit', 'Article'}"
List_of_important_publications_in_geology.html,44,"{'edit', 'Article'}"
List_of_units_using_the_B-26_Marauder_during_World_War_II_9296.html,41,"{'edit', 'Article'}"
